0	0	1	1945
2	0	3	1948
4	0	5	1952
6	0	7	1888
8	0	9	1910
10	0	11	1983
12	0	13	1983
14	0	15	1914
16	0	17	1975
18	0	11	1985
19	0	20	1915
21	0	22	1929
23	0	24	1860
25	0	26	1969
27	0	28	1872
29	0	30	1971
31	0	32	1987
33	0	3	1915
34	0	35	1977
36	0	37	1900
38	0	39	1907
40	0	41	1924
42	0	43	1976
44	0	45	1971
46	0	47	1966
48	0	49	1900
50	0	51	1970
52	0	53	1941
54	0	55	1955
56	0	57	1954
58	0	15	1916
59	0	60	1912
61	0	53	1839
62	0	63	1942
64	0	65	1937
66	0	67	1968
68	0	69	1905
70	0	71	1948
72	0	73	1934
74	0	75	1928
76	0	77	1924
78	0	79	1910
80	0	81	1951
82	0	83	1964
84	0	17	1924
85	0	86	1902
87	0	3	1896
88	0	89	1966
90	0	91	1984
92	0	55	1953
93	0	94	1960
95	0	96	1977
97	0	67	1864
98	0	99	1930
100	0	101	1918
102	0	103	1928
104	0	105	1984
106	0	83	1955
107	0	83	1889
108	0	109	1894
110	0	111	1928
112	0	79	1950
113	0	75	1991
114	0	17	1950
115	0	67	1937
116	0	67	1891
117	0	118	1930
119	0	120	1977
121	0	83	1929
122	0	123	1978
124	0	125	1950
126	0	127	1936
128	0	129	1955
130	0	131	1983
132	0	133	1969
134	0	135	1972
136	0	137	1942
138	0	139	1917
140	0	141	1864
142	0	143	1944
144	0	145	1943
146	0	147	1914
148	0	149	1884
150	0	151	1954
152	0	103	1954
153	0	45	1958
154	0	155	1941
156	0	157	1987
158	0	79	1976
159	0	83	1934
160	0	161	1980
162	0	163	1945
164	0	165	1928
166	0	30	1968
167	0	168	1963
169	0	170	1928
171	0	79	1922
172	0	173	1956
174	0	75	1972
175	0	176	1945
177	0	173	1927
178	0	28	1960
179	0	137	1905
180	0	139	1920
181	0	149	1908
182	0	183	1914
184	0	185	1969
186	0	187	1953
188	0	189	1927
190	0	191	1972
192	0	35	1940
193	0	194	1911
195	0	196	1895
197	0	139	1963
198	0	199	1916
200	0	79	1928
201	0	202	1940
203	0	139	1965
204	0	205	1938
206	0	207	1992
208	0	17	1844
209	0	210	1958
211	0	212	1632
213	0	214	1947
215	0	196	1946
216	0	217	1932
218	0	173	1956
219	0	220	1987
221	0	222	1896
223	0	224	1946
225	0	109	1964
226	0	103	1946
227	0	228	1962
229	0	230	1980
231	0	17	1956
232	0	230	1957
233	0	234	1953
235	0	139	1892
236	0	237	1944
238	0	83	1950
239	0	240	1969
241	0	133	1922
242	0	243	1965
244	0	245	1964
246	0	247	1900
248	0	249	1926
250	0	57	1940
251	0	129	1876
252	0	253	1929
254	0	139	1928
255	0	149	1909
256	0	139	1952
257	0	258	1979
259	0	199	1944
260	0	69	1971
261	0	35	1928
262	0	196	1958
263	0	129	1951
264	0	265	1969
266	0	267	1928
268	0	269	1952
270	0	75	1929
271	0	143	1968
272	0	273	1979
274	0	275	1984
276	0	277	1908
278	0	279	1972
280	0	281	1948
282	0	283	1953
284	0	285	1959
286	0	196	1916
287	0	28	1951
288	0	147	1951
289	0	290	1910
291	0	292	1984
293	0	3	1952
294	0	295	1925
296	0	245	1983
297	0	199	1978
298	0	299	1724
300	0	301	1987
302	0	139	1912
303	0	265	1981
